,variable_1,variable_2,correlation_coefficient,correlation_class
1,danceability,energy,0.20603597825162404,LOW
2,danceability,key,0.01543267212247978,LOW
3,danceability,loudness,0.2739970987065454,LOW
4,danceability,mode,-0.03273989096946524,LOW
5,danceability,speechiness,0.15636197517250422,LOW
6,danceability,acousticness,-0.26112170696456366,LOW
7,danceability,instrumentalness,-0.3018336039249277,LOW
8,danceability,liveness,-0.11527546500402902,LOW
9,danceability,valence,0.5538445968706203,MID
10,danceability,tempo,-0.06658773760025635,LOW
11,danceability,duration_s,-0.06291463621556385,LOW
12,danceability,time_signature,0.19181396589346203,LOW
13,danceability,chorus_hit,-0.03622727284422718,LOW
14,danceability,sections,-0.05852760628984231,LOW
15,danceability,popularity,0.34601992501718365,LOW
18,energy,key,0.022598048569548054,LOW
19,energy,loudness,0.7726110205647474,HIGH
20,energy,mode,-0.033907096983022585,LOW
21,energy,speechiness,0.12235999980624411,LOW
22,energy,acousticness,-0.715083712357915,LOW
23,energy,instrumentalness,-0.20811297816237315,LOW
24,energy,liveness,0.15779695198317606,LOW
25,energy,valence,0.34139831016737454,LOW
26,energy,tempo,0.2241066212526915,LOW
27,energy,duration_s,0.011961163841789246,LOW
28,energy,time_signature,0.19622099460983194,LOW
29,energy,chorus_hit,0.009659709441768815,LOW
30,energy,sections,-0.04012885871983586,LOW
31,energy,popularity,0.177117147560819,LOW
35,key,loudness,0.008483345168349171,LOW
36,key,mode,-0.14039823995315492,LOW
37,key,speechiness,0.026554466794446976,LOW
38,key,acousticness,-0.02423957277879905,LOW
39,key,instrumentalness,-0.01311998504845581,LOW
40,key,liveness,0.0006385860295668741,LOW
41,key,valence,0.007748265335034779,LOW
42,key,tempo,0.0011162917867949284,LOW
43,key,duration_s,0.015480159257500598,LOW
44,key,time_signature,0.00475568270856127,LOW
45,key,chorus_hit,0.010261732603483122,LOW
46,key,sections,0.006770826427880933,LOW
47,key,popularity,0.009922805659629715,LOW
52,loudness,mode,0.0003836035316358725,LOW
53,loudness,speechiness,0.06911460709588946,LOW
54,loudness,acousticness,-0.5665030317459583,LOW
55,loudness,instrumentalness,-0.374205949220745,LOW
56,loudness,liveness,0.08667564687667077,LOW
57,loudness,valence,0.27170571608803407,LOW
58,loudness,tempo,0.16950579769654064,LOW
59,loudness,duration_s,-0.0497331818531223,LOW
60,loudness,time_signature,0.16574751040366317,LOW
61,loudness,chorus_hit,-0.013371116729987564,LOW
62,loudness,sections,-0.07994643062046727,LOW
63,loudness,popularity,0.2859721076983116,LOW
69,mode,speechiness,-0.059758329294905745,LOW
70,mode,acousticness,0.05002802202570025,LOW
71,mode,instrumentalness,-0.0759682903854707,LOW
72,mode,liveness,0.008780613365121684,LOW
73,mode,valence,0.035612906673688785,LOW
74,mode,tempo,0.027088340171182897,LOW
75,mode,duration_s,-0.07474373477913317,LOW
76,mode,time_signature,-0.009387182753515869,LOW
77,mode,chorus_hit,-0.0226040030737171,LOW
78,mode,sections,-0.05701633516114791,LOW
79,mode,popularity,0.07963298425849488,LOW
86,speechiness,acousticness,-0.08384297036560917,LOW
87,speechiness,instrumentalness,-0.08406744895548718,LOW
88,speechiness,liveness,0.13138073523415247,LOW
89,speechiness,valence,0.0015213273902183059,LOW
90,speechiness,tempo,0.0367302228029597,LOW
91,speechiness,duration_s,0.007707604816789482,LOW
92,speechiness,time_signature,0.021087257830770655,LOW
93,speechiness,chorus_hit,0.01298985771395431,LOW
94,speechiness,sections,-0.008571839963811714,LOW
95,speechiness,popularity,-0.0409358866042377,LOW
103,acousticness,instrumentalness,0.20408288476106914,LOW
104,acousticness,liveness,-0.030731268484659468,LOW
105,acousticness,valence,-0.19529571503332352,LOW
106,acousticness,tempo,-0.1797187804340219,LOW
107,acousticness,duration_s,-0.07038914476844334,LOW
108,acousticness,time_signature,-0.18824164259179973,LOW
109,acousticness,chorus_hit,-0.012468281984597322,LOW
110,acousticness,sections,-0.016917421349053583,LOW
111,acousticness,popularity,-0.24595219508502866,LOW
120,instrumentalness,liveness,-0.05055359747488426,LOW
121,instrumentalness,valence,-0.2869769626110359,LOW
122,instrumentalness,tempo,-0.05359510117993269,LOW
123,instrumentalness,duration_s,0.10651052797360878,LOW
124,instrumentalness,time_signature,-0.07813959856071911,LOW
125,instrumentalness,chorus_hit,0.04869501628740668,LOW
126,instrumentalness,sections,0.08116670122264098,LOW
127,instrumentalness,popularity,-0.40756039013524314,LOW
137,liveness,valence,0.0008035011678934818,LOW
138,liveness,tempo,0.024765529422339047,LOW
139,liveness,duration_s,0.0053730050926160166,LOW
140,liveness,time_signature,0.004804477916409516,LOW
141,liveness,chorus_hit,0.03796771853732677,LOW
142,liveness,sections,-0.011708252836569528,LOW
143,liveness,popularity,-0.051484178411771706,LOW
154,valence,tempo,0.10795241608325648,LOW
155,valence,duration_s,-0.17209741429506867,LOW
156,valence,time_signature,0.15580625594852382,LOW
157,valence,chorus_hit,-0.05912016322546334,LOW
158,valence,sections,-0.13347587124573998,LOW
159,valence,popularity,0.25111741546696786,LOW
171,tempo,duration_s,-0.024365783161854483,LOW
172,tempo,time_signature,0.007596031060706022,LOW
173,tempo,chorus_hit,-0.05608474219353891,LOW
174,tempo,sections,0.02486770575712921,LOW
175,tempo,popularity,0.032581787966492824,LOW
188,duration_s,time_signature,0.018341558485860197,LOW
189,duration_s,chorus_hit,0.09384401163474966,LOW
190,duration_s,sections,0.8889421127801933,HIGH
191,duration_s,popularity,-0.07380557347754894,LOW
205,time_signature,chorus_hit,-0.011281848898340068,LOW
206,time_signature,sections,0.008333977845686487,LOW
207,time_signature,popularity,0.10494133264536962,LOW
222,chorus_hit,sections,-0.08596476131748666,LOW
223,chorus_hit,popularity,-0.04641643827474171,LOW
239,sections,popularity,-0.059992984952405994,LOW
