,Position,Track Name,Artist,Stream Count/Week,URL,source,Week Ending,id,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,1,Blinding Lights,The Weeknd,41066317,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,0sf12qNH5qcw8qpgymFOqD,Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,201573,30,0.513,0.00147,0.796,0.000209,0.0938,-4.075,0.0629,171.017,4
1,2,The Box,Roddy Ricch,37470185,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,0nbXyq5TXYPCO7pr3N8S4I,The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,196652,88,0.896,0.104,0.586,0.0,0.79,-6.687,0.0559,116.971,4
2,3,Dance Monkey,Tones And I,36071262,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Dance Monkey,Tones And I,2019-05-10,209754,69,0.825,0.688,0.593,0.000161,0.17,-6.401,0.0988,98.078,4
3,4,Don't Start Now,Dua Lipa,32169572,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,183290,85,0.794,0.0125,0.793,0.0,0.0952,-4.521,0.0842,123.941,4
4,5,La Difícil,Bad Bunny,29598307,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,6NfrH0ANGmgBXyxgV2PeXt,La Difícil,YHLQMDLG,Bad Bunny,2020-02-28,163084,81,0.685,0.0861,0.848,7.14e-06,0.0783,-4.561,0.0858,179.87,4
5,6,Intentions (feat. Quavo),Justin Bieber,27261529,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),Changes,Justin Bieber,2020-02-14,212866,81,0.806,0.3,0.546,0.0,0.102,-6.637,0.0575,147.986,4
6,7,Si Veo a Tu Mamá,Bad Bunny,25902740,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,41wtwzCZkXwpnakmwJ239F,Si Veo a Tu Mamá,YHLQMDLG,Bad Bunny,2020-02-28,170971,82,0.9,0.402,0.603,4.81e-06,0.134,-5.313,0.0646,129.928,4
7,8,Say So,Doja Cat,25693166,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,3Dv1eDb0MEgF93GpLXlucZ,Say So,Hot Pink,Doja Cat,2019-11-07,237893,85,0.787,0.256,0.673,3.57e-06,0.0904,-4.577,0.158,110.962,4
8,9,Tusa,KAROL G,25559126,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,7k4t7uLgtOxPwTpFmtJNTY,Tusa,Tusa,KAROL G,2019-11-07,200960,86,0.803,0.295,0.715,0.000134,0.0574,-3.28,0.298,101.085,4
9,10,Ignorantes,Bad Bunny,24557120,https://open.spotify.com/track/38RIEav39FGi86jppxO0du,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,38RIEav39FGi86jppxO0du,Ignorantes,YHLQMDLG,Bad Bunny,2020-02-28,210606,75,0.85,0.267,0.536,3.89e-05,0.0996,-5.161,0.0599,96.029,4
10,11,Falling,Trevor Daniel,24350925,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,4TnjEaWOeW0eKTKIEvJyCa,Falling,Falling,Trevor Daniel,2018-10-05,159381,85,0.785,0.123,0.431,0.0,0.0887,-8.756,0.0364,127.085,4
11,12,ROXANNE,Arizona Zervas,22926539,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,696DnlkuDOXcMAnKlTgXXK,ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,163636,85,0.621,0.0522,0.601,0.0,0.46,-5.616,0.148,116.735,5
12,13,Safaera,Bad Bunny,22902153,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,2DEZmgHKAvm41k4J3R2E9Y,Safaera,YHLQMDLG,Bad Bunny,2020-02-28,295176,83,0.607,0.0103,0.829,0.0,0.107,-4.074,0.379,96.172,4
13,14,Circles,Post Malone,19990944,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,21jGcNKet2qwijlDFuPiPb,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,89,0.695,0.192,0.762,0.00244,0.0863,-3.497,0.0395,120.042,4
14,15,Baby Pluto,Lil Uzi Vert,19868123,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh,regional-global-weekly-2020-03-06--2020-03-13.csv,2020-03-13,7hav1MHURQf5SAoPk0egqh,Baby Pluto,Eternal Atake,Lil Uzi Vert,2020-03-06,210261,73,0.772,0.135,0.634,0.0,0.432,-6.101,0.212,160.052,4
